"Id","SalePrice"
1461,128566.859815692
1462,157021.349987212
1463,183879.981575082
1464,195519.869102187
1465,191330.712847325
1466,174699.665355853
1467,180429.577241877
1468,164898.994001999
1469,184266.240392263
1470,125211.008791808
1471,185248.410984327
1472,95130.8275575593
1473,93181.6763167626
1474,147021.998643289
1475,116217.558248718
1476,373325.344068456
1477,259499.430359861
1478,297830.743291838
1479,301155.825733147
1480,536073.428745134
1481,330694.789802867
1482,227837.365915974
1483,173131.081879766
1484,164609.124613947
1485,183703.535034445
1486,189893.683702105
1487,338235.549802117
1488,232931.49975475
1489,201265.448775893
1490,241553.326767209
1491,188435.89418125
1492,91494.3988495213
1493,182168.251953003
1494,290102.530736182
1495,290113.39116186
1496,248086.32360764
1497,175746.68103349
1498,175035.822288742
1499,160541.140509415
1500,159725.014581499
1501,180497.135203433
1502,153410.321337003
1503,298084.159539146
1504,242081.577158918
1505,229037.012543156
1506,189626.512544348
1507,250402.876245087
1508,195913.831962252
1509,162273.320031462
1510,149304.132379131
1511,152809.829210797
1512,172975.299968983
1513,139890.38698423
1514,152362.695135286
1515,181891.115405251
1516,144164.092364281
1517,165977.160428015
1518,126347.608532436
1519,210016.137935475
1520,131356.807986459
1521,134174.15471088
1522,171508.374042411
1523,111940.00442847
1524,128557.535300224
1525,120358.83427629
1526,113433.038613506
1527,108438.507470172
1528,129517.953369207
1529,150861.427359902
1530,176510.471948388
1531,128421.64086207
1532,88591.0497188894
1533,143500.952237946
1534,122547.346516575
1535,138693.585943534
1536,107399.149647277
1537,64236.6720793906
1538,138250.761312022
1539,181991.162302774
1540,95910.9647601595
1541,145628.987674768
1542,130487.229227165
1543,184098.684517117
1544,77988.4193587726
1545,107426.375741721
1546,132627.199666367
1547,127844.831324175
1548,129218.680651832
1549,116026.854772576
1550,136933.513116289
1551,106550.279949661
1552,150006.601319752
1553,159493.602998011
1554,125673.732588973
1555,168044.508067625
1556,85349.8704448846
1557,101171.339362471
1558,99129.8438920582
1559,60187.3969604212
1560,134661.05502797
1561,135898.841527105
1562,129826.474179571
1563,119735.679747462
1564,148992.849591386
1565,148703.363399288
1566,255963.750728266
1567,75781.4137759602
1568,239544.625809887
1569,143104.137645878
1570,148365.949172793
1571,114836.079121127
1572,137538.759051392
1573,220436.457756946
1574,136246.018800121
1575,216786.652117285
1576,254678.679306133
1577,191685.197577794
1578,143445.529414506
1579,142320.975174081
1580,190938.385606438
1581,159577.418470495
1582,128728.786936825
1583,297262.307314792
1584,224755.021287822
1585,141203.342632782
1586,66665.8360219406
1587,110404.73149376
1588,151757.004054034
1589,104741.239402877
1590,131308.86401505
1591,94494.8812336625
1592,114126.336564473
1593,127799.792572918
1594,133085.254493109
1595,114107.148490362
1596,211295.056079286
1597,173853.167718479
1598,194165.699790453
1599,158951.855367638
1600,152845.46063351
1601,60441.433030726
1602,116258.471527812
1603,56223.9531413374
1604,267235.974726097
1605,243218.380157538
1606,167102.112033482
1607,171812.459575946
1608,226605.113064638
1609,196641.579816698
1610,159541.760954678
1611,146366.603589531
1612,172887.503193769
1613,164715.746884559
1614,124133.084895176
1615,89585.0460918484
1616,78880.3945014629
1617,92240.070172212
1618,131917.671858449
1619,147375.988961071
1620,167771.826735959
1621,141426.030603367
1622,142108.840531702
1623,277454.619506354
1624,214397.049492763
1625,123080.054159351
1626,162598.528528846
1627,189432.82214405
1628,276478.407530401
1629,179181.521406849
1630,366652.000028417
1631,214361.569056127
1632,241523.455752065
1633,172963.903364257
1634,185302.505790964
1635,180393.182395159
1636,162047.578528009
1637,196522.307590138
1638,183680.362209257
1639,184983.077486836
1640,248246.154328785
1641,179336.594696007
1642,246648.072925222
1643,215322.752435659
1644,234217.888017723
1645,212540.702199318
1646,165206.239166225
1647,157215.532258882
1648,133199.306952934
1649,138862.085782893
1650,117881.010712811
1651,122206.973716089
1652,95524.2179644857
1653,98392.4253702119
1654,143365.905395773
1655,137940.646027846
1656,141645.921333728
1657,145726.129484525
1658,147917.149773605
1659,123979.062493248
1660,157641.897786746
1661,427473.352537019
1662,399784.808296869
1663,369327.363497242
1664,515312.837504328
1665,310222.817541653
1666,330629.130846269
1667,381456.348955643
1668,350702.253430832
1669,315987.927962527
1670,347921.646946258
1671,271558.049791643
1672,440680.879083916
1673,296551.176448068
1674,256622.918221737
1675,196041.961279118
1676,198697.162034579
1677,229942.871676936
1678,508454.692625306
1679,395470.890186944
